# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EEhighR9smear       0.0003     0.0468     0.0000    

diphotonCat=7
proc=zh
EBlowR9scale        0.0017     0.0124     0.0000    
EBlowR9smear        0.0001     0.0719     0.0000    
EBhighR9scale       0.0011     0.0149     0.0000    
EBhighR9smear       0.0000     0.0719     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0019     0.0088     0.0000    
EEhighR9smear       0.0004     0.0923     0.0000    

diphotonCat=7
proc=tth
EBlowR9scale        0.0016     0.0477     0.0000    
EBlowR9smear        0.0001     0.0000     0.0000    
EBhighR9scale       0.0012     0.0465     0.0000    
EBhighR9smear       0.0001     0.0000     0.0000    
EElowR9scale        0.0002     0.0000     0.0000    
EElowR9smear        0.0001     0.0000     0.0000    
EEhighR9scale       0.0019     0.0764     0.0206    
EEhighR9smear       0.0004     0.0704     0.0000    

diphotonCat=8
proc=ggh
EBlowR9scale        0.0012     0.0125     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0006     0.0043     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0008     0.0069     0.0000    
EElowR9smear        0.0002     0.0135     0.0000    
EEhighR9scale       0.0031     0.0213     0.0047    
EEhighR9smear       0.0004     0.0887     0.0022    

diphotonCat=8
proc=vbf
EBlowR9scale        0.0013     0.0056     0.0003    
EBlowR9smear        0.0000     0.0018     0.0000    
EBhighR9scale       0.0007     0.0043     0.0003    
EBhighR9smear       0.0000     0.0007     0.0000    
EElowR9scale        0.0007     0.0032     0.0005    
EElowR9smear        0.0000     0.0154     0.0005    
EEhighR9scale       0.0029     0.0131     0.0012    
EEhighR9smear       0.0001     0.0458     0.0008    

diphotonCat=8
proc=wh
EBlowR9scale        0.0011     0.0407     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0006     0.0157     0.0000    
EBhighR9smear       0.0001     0.0273     0.0000    
EElowR9scale        0.0010     0.0436     0.0000    
EElowR9smear        0.0001     0.0612     0.0000    
EEhighR9scale       0.0040     0.0765     0.0028    
EEhighR9smear       0.0005     0.0848     0.0000    

diphotonCat=8
proc=zh
EBlowR9scale        0.0016     0.0497     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0006     0.0201     0.0000    
EBhighR9smear       0.0000     0.0005     0.0000    
EElowR9scale        0.0012     0.0634     0.0109    
EElowR9smear        0.0001     0.0405     0.0000    
EEhighR9scale       0.0035     0.0648     0.0000    
EEhighR9smear       0.0002     0.0180     0.0000    

diphotonCat=8
proc=tth
EBlowR9scale        0.0013     0.0435     0.0148    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0006     0.0067     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0004     0.0200     0.0000    
EElowR9smear        0.0001     0.0079     0.0000    
EEhighR9scale       0.0026     0.0149     0.0181    
EEhighR9smear       0.0001     0.0073     0.0000    

diphotonCat=9
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=9
proc=vbf
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0040     0.1332     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=9
proc=wh
EBlowR9scale        0.0008     0.0114     0.0010    
EBlowR9smear        0.0000     0.0010     0.0000    
EBhighR9scale       0.0014     0.0015     0.0002    
EBhighR9smear       0.0000     0.0033     0.0000    
EElowR9scale        0.0003     0.0028     0.0002    
EElowR9smear        0.0000     0.0048     0.0004    
EEhighR9scale       0.0014     0.0034     0.0002    
EEhighR9smear       0.0001     0.0331     0.0002    

diphotonCat=9
proc=zh
EBlowR9scale        0.0010     0.0053     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0015     0.0149     0.0008    
EBhighR9smear       0.0000     0.0006     0.0000    
EElowR9scale        0.0002     0.0129     0.0000    
EElowR9smear        0.0001     0.0088     0.0000    
EEhighR9scale       0.0014     0.0310     0.0024    
EEhighR9smear       0.0001     0.0388     0.0008    

diphotonCat=9
proc=tth
EBlowR9scale        0.0009     0.0113     0.0000    
EBlowR9smear        0.0000     0.0019     0.0000    
EBhighR9scale       0.0014     0.0057     0.0006    
EBhighR9smear       0.0000     0.0019     0.0000    
EElowR9scale        0.0001     0.0023     0.0000    
EElowR9smear        0.0000     0.0017     0.0000    
EEhighR9scale       0.0010     0.0101     0.0005    
EEhighR9smear       0.0001     0.0291     0.0000    

diphotonCat=10
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=10
proc=vbf
EBlowR9scale        0.0016     0.0259     0.0000    
EBlowR9smear        0.0002     0.0000     0.0000    
EBhighR9scale       0.0012     0.0966     0.0000    
EBhighR9smear       0.0001     0.0965     0.0000    
EElowR9scale        0.0001     0.0000     0.0000    
EElowR9smear        0.0001     0.0000     0.0000    
EEhighR9scale       0.0022     0.1270     0.0000    
EEhighR9smear       0.0004     0.0860     0.0000    

diphotonCat=10
proc=wh
EBlowR9scale        0.0009     0.0075     0.0015    
EBlowR9smear        0.0000     0.0009     0.0000    
EBhighR9scale       0.0014     0.0145     0.0007    
EBhighR9smear       0.0000     0.0020     0.0000    
EElowR9scale        0.0002     0.0088     0.0007    
EElowR9smear        0.0000     0.0057     0.0007    
EEhighR9scale       0.0015     0.0149     0.0007    
EEhighR9smear       0.0000     0.0386     0.0007    

diphotonCat=10
proc=zh
EBlowR9scale        0.0008     0.0142     0.0016    
EBlowR9smear        0.0000     0.0042     0.0000    
EBhighR9scale       0.0014     0.0226     0.0015    
EBhighR9smear       0.0000     0.0073     0.0000    
EElowR9scale        0.0002     0.0147     0.0000    
EElowR9smear        0.0000     0.0090     0.0000    
EEhighR9scale       0.0018     0.0475     0.0016    
EEhighR9smear       0.0000     0.0277     0.0000    

diphotonCat=10
proc=tth
EBlowR9scale        0.0010     0.0187     0.0020    
EBlowR9smear        0.0000     0.0061     0.0000    
EBhighR9scale       0.0015     0.0332     0.0061    
EBhighR9smear       0.0000     0.0044     0.0000    
EElowR9scale        0.0002     0.0077     0.0025    
EElowR9smear        0.0002     0.0082     0.0042    
EEhighR9scale       0.0011     0.0217     0.0021    
EEhighR9smear       0.0001     0.0515     0.0000    

diphotonCat=11
proc=ggh
EBlowR9scale        0.0005     0.0871     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0021     0.0504     0.0000    
EBhighR9smear       0.0001     0.0154     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0008     0.0821     0.0000    
EEhighR9smear       0.0001     0.0154     0.0000    

diphotonCat=11
proc=vbf
EBlowR9scale        0.0009     0.0204     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0016     0.0320     0.0000    
